Promoted Item Description,01_J&J_Dabao_SOD_Milk_200,02_J&J_Dabao_SOD_Milk_100/90,03_J&J_Dabao_SOD_Milk_Light_100/90,04_J&J_Dabao_SOD_Protein_100,05_J&J_Dabao_SOD_Protein_50,06_J&J_Dabao_Night_50,07_J&J_Dabao_Day_50,08_J&J_Dabao_Vitality_50,09_J&J_Dabao_Vitality_100,10_J&J_Dabao_White_50/75,11_J&J_Dabao_Hydartion_50/75,12_J&J_Dabao_SOD_Cream_50,13_Baiquelin_41.5,14_Baiquelin_baoshi_50,15_Baiquelin_baoshi_50,16_Baiquelin_8cups_50,17_Baiquelin_60,18_Baiquelin_baoshiru_100,19_Baiquelin_24hours_115/,20_Baiquelin_Fanshilin_120,21_Baiquelin_130,22_Baiquelin_SOD_150,23_Baiquelin_200,24_KanS_GEL_180,25_Inoherb_Moist_50,26_Inoherb_Herbal_100,27_Inoherb_White_120,28_Inoherb_Herbal_120,29_JaHwa_Maxam_20,30_JaHwa_Maxam_Low_80,31_JaHwa_Maxam_High_80,32_JaHwa_Maxam_Pearl_100,33_JaHwa_Maxam_High_100,34_JaHwa_Yashuang_80,35_JaHwa_Youyi_110,36_PG_Olay_Moist_50,37_PG_Olay_Advanced_Moist_50,38_Yumeijin_110,39_Livedun_120,40_Longliqi_Snake_60,41_Longliqi_SOD_low_90,42_Longliqi_SOD_high_90,43_Longliqi_SOD_165,47_Inoherb_Herbal_Lotus_120
11_J&J_Dabao_Hydartion_50/75,,,-0.04,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_J&J_Dabao_SOD_Cream_50,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Baiquelin_41.5,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
14_Baiquelin_baoshi_50,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Baiquelin_baoshi_50,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Baiquelin_8cups_50,,,,,,,,,,,,-0.09,,,,0.76,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,
17_Baiquelin_60,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,-0.29,,,
18_Baiquelin_baoshiru_100,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,0
19_Baiquelin_24hours_115/,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
20_Baiquelin_Fanshilin_120,,,,,,,,,,,,,,,,,-0.35,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,
21_Baiquelin_130,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,
22_Baiquelin_SOD_150,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,
23_Baiquelin_200,-0.17,,,,,,,,,,,-0.21,,,,,,,,-0.15,,,0.71,,,,,,,,,,,,,,,,,,,,-0.17,
24_KanS_GEL_180,-0.07,-0.03,-0.15,-0.17,-0.1,,-0.06,-0.13,-0.19,-0.09,,-0.15,,-0.13,,,-0.21,-0.06,-0.12,-0.07,-0.11,,,1.17,,,,,,-0.14,,-0.08,-0.07,-0.18,-0.12,-0.03,-0.05,-0.18,,,-0.11,-0.08,,
25_Inoherb_Moist_50,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,
26_Inoherb_Herbal_100,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,0
27_Inoherb_White_120,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,0.76,,,,,,,,,,,,,,,,,0
28_Inoherb_Herbal_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,
29_JaHwa_Maxam_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,
30_JaHwa_Maxam_Low_80,,,-0.07,,,,,,,,,,,,,,,,,,-0.19,,,,,,,,-0.2,1.21,,,,,,,,,,,,,,
31_JaHwa_Maxam_High_80,,-0.11,-0.17,-0.09,,,,,-0.11,,,,,,,,,,,,-0.12,-0.27,-0.17,,,,,,-0.06,,1.01,,,,,,,,,,,,,
32_JaHwa_Maxam_Pearl_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,
33_JaHwa_Maxam_High_100,,-0.11,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,0.4,,,,,,,,,,,
34_JaHwa_Yashuang_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,
35_JaHwa_Youyi_110,-0.04,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,0.76,,,,,,,,,
36_PG_Olay_Moist_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,
37_PG_Olay_Advanced_Moist_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,
38_Yumeijin_110,,,-0.13,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,0.66,,,,,,
39_Livedun_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,
40_Longliqi_Snake_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,
41_Longliqi_SOD_low_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,,1.13,,-0.11,
42_Longliqi_SOD_high_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,0.74,,
43_Longliqi_SOD_165,-0.07,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,,0.88,
47_Inoherb_Herbal_Lotus_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
