report,item,ItemDescription,infMFC,infBRD,ProductLine,Packsize, CurrentRegPrice ,Freq,Depth,Baseline,BONUSPACKFre,GIFTPACKFre,MultiPackFre
yes,18,18_Baiquelin_baoshiru_100,BaiQueLing,Pechoin,Advanced,100, 39.5 ,0.16,0.2,2046.187428,0,0,0
yes,19,19_Baiquelin_24hours_115/,BaiQueLing,Pechoin,Baseline,115, 14.3 ,0.12,0.16,4655.40855,0,0,0
yes,20,20_Baiquelin_Fanshilin_120,BaiQueLing,Pechoin,Baseline,120, 15.9 ,0.16,0.18,3706.896299,0,0,0
yes,21,21_Baiquelin_130,BaiQueLing,Pechoin,Baseline,130, 17.4 ,0.01,0.14,5194.131226,0,0,0
yes,22,22_Baiquelin_SOD_150,BaiQueLing,Pechoin,Baseline,150, 10.6 ,0.13,0.17,12327.77061,0,0,0
yes,23,23_Baiquelin_200,BaiQueLing,Pechoin,Baseline,200, 21.4 ,0.08,0.19,2395.505767,0,0,0
yes,24,24_KanS_GEL_180,Chicmax,KanS,Advanced,180, 33.1 ,0.29,0.31,4190.847779,0,0,0.078715397
yes,25,25_Inoherb_Moist_50,Inoherb,Inoherb,Advanced,50, 38.9 ,0.18,0.26,2933.82987,0,0,0
yes,26,26_Inoherb_Herbal_100,Inoherb,Inoherb,Advanced,100, 62.4 ,0.27,0.3,1170.786211,0,0,0.001574787
yes,27,27_Inoherb_White_120,Inoherb,Inoherb,Advanced,120, 78.2 ,0.32,0.33,2707.120546,0,0,0
yes,28,28_Inoherb_Herbal_120,Inoherb,Inoherb,Advanced,120, 74.5 ,0.36,0.31,2185.577623,0,0,0.057405682
yes,29,29_JaHwa_Maxam_20,JaHwa,Maxam,Baseline,20, 1.4 ,0.11,0.19,63185.26088,0,0,0
yes,30,30_JaHwa_Maxam_Low_80,JaHwa,Maxam,Baseline,80, 14.1 ,0.2,0.19,18301.97108,0,0,0
yes,31,31_JaHwa_Maxam_High_80,JaHwa,Maxam,Baseline,80, 24.6 ,0.25,0.22,13359.82424,0,0,0
yes,32,32_JaHwa_Maxam_Pearl_100,JaHwa,Maxam,Baseline,100, 9.3 ,0.13,0.22,4459.794973,0,0,0
yes,33,33_JaHwa_Maxam_High_100,JaHwa,Maxam,Baseline,100, 25.0 ,0.2,0.25,3384.322538,0,0,0
yes,34,34_JaHwa_Yashuang_80,JaHwa,YaShuang,Baseline,80, 4.9 ,0.07,0.21,8659.648836,0,0,0
yes,35,35_JaHwa_Youyi_110,JaHwa,YouYi,Baseline,110, 6.5 ,0.07,0.2,3033.705292,0,0,0
yes,36,36_PG_Olay_Moist_50,P&G,Olay,Advanced,50, 39.4 ,0.19,0.28,4382.994236,0.066378552,0,0.17964046
yes,37,37_PG_Olay_Advanced_Moist_50,P&G,Olay,Advanced,50, 44.5 ,0.2,0.24,3347.226561,0,0,0
yes,38,38_Yumeijin_110,O.Manu,YuMeiJing,Baseline,110, 18.4 ,0.09,0.19,3188.76051,0,0,0
yes,39,39_Livedun_120,O.Manu,Livedun,Baseline,120, 9.8 ,0.38,0.21,5955.410504,0,0,0
yes,40,40_Longliqi_Snake_60,LongLiQi,LongLiQi,Baseline,60, 9.6 ,0.16,0.32,1425.48644,0,0,0
yes,41,41_Longliqi_SOD_low_90,LongLiQi,LongLiQi,Baseline,90, 8.9 ,0.18,0.27,1563.949551,0,0,0
yes,42,42_Longliqi_SOD_high_90,LongLiQi,LongLiQi,Baseline,90, 11.0 ,0.15,0.23,887.7431003,0,0,0
yes,43,43_Longliqi_SOD_165,LongLiQi,LongLiQi,Baseline,165, 12.7 ,0.19,0.32,365.8222284,0,0,0
yes,47,47_Inoherb_Herbal_Lotus_120,Inoherb,Inoherb,Advanced,120, 72.4 ,0.25,0.3,1329.548484,0,0,0
